Input shape: 1 3 416 416 
Output shape: 1 2535 1 4 
First few output values: -0.0180996 -0.023463 0.13248 0.128893 0.0149888 -0.00418668 0.216534 0.126775 0.0619186 -0.00646129 
Detected object: person with confidence: 0.631793, Bounding Box [x_min: -100, y_min: -218, width: 182, height: 314]
Detected object: person with confidence: 0.726801, Bounding Box [x_min: -155, y_min: -139, width: 801, height: 262]
Detected object: person with confidence: 0.830548, Bounding Box [x_min: 245, y_min: -139, width: 1182, height: 278]
Detected object: person with confidence: 0.912618, Bounding Box [x_min: 544, y_min: -211, width: 1508, height: 316]
Detected object: person with confidence: 0.673883, Bounding Box [x_min: -147, y_min: -189, width: 309, height: 398]
Detected object: person with confidence: 0.944611, Bounding Box [x_min: -39, y_min: -158, width: 582, height: 371]
Detected object: person with confidence: 0.788265, Bounding Box [x_min: 43, y_min: -127, width: 839, height: 354]
Detected object: person with confidence: 0.981574, Bounding Box [x_min: 93, y_min: -168, width: 1106, height: 356]
Detected object: person with confidence: 0.860964, Bounding Box [x_min: 259, y_min: -185, width: 1240, height: 362]
Detected object: bicycle with confidence: 1.0128, Bounding Box [x_min: 501, y_min: -192, width: 1493, height: 385]
Detected object: person with confidence: 0.636526, Bounding Box [x_min: 306, y_min: -67, width: 1256, height: 522]
Detected object: person with confidence: 0.7072, Bounding Box [x_min: -126, y_min: -26, width: 214, height: 561]
Detected object: person with confidence: 0.770581, Bounding Box [x_min: -21, y_min: -9, width: 686, height: 574]
Detected object: person with confidence: 0.840317, Bounding Box [x_min: 353, y_min: -163, width: 1088, height: 673]
Detected object: person with confidence: 0.904685, Bounding Box [x_min: 548, y_min: -60, width: 1495, height: 605]
Detected object: person with confidence: 0.642746, Bounding Box [x_min: -144, y_min: 48, width: 326, height: 624]
Detected object: person with confidence: 0.976777, Bounding Box [x_min: -54, y_min: 33, width: 580, height: 609]
Detected object: person with confidence: 0.806227, Bounding Box [x_min: 75, y_min: 0, width: 802, height: 632]
Detected object: person with confidence: 0.991752, Bounding Box [x_min: 266, y_min: -122, width: 941, height: 719]
Detected object: person with confidence: 0.866015, Bounding Box [x_min: 393, y_min: -100, width: 1156, height: 700]
Detected object: bicycle with confidence: 1.00484, Bounding Box [x_min: 504, y_min: -86, width: 1432, height: 674]
Detected object: person with confidence: 0.641546, Bounding Box [x_min: -104, y_min: 79, width: 190, height: 906]
Detected object: person with confidence: 0.723526, Bounding Box [x_min: -209, y_min: 161, width: 838, height: 839]
Detected object: person with confidence: 0.788488, Bounding Box [x_min: 165, y_min: 151, width: 1163, height: 838]
